frame,E_976_eV,E_977_eV,E_978_eV,E_979_eV,gap_977_978_eV,abs_nac_977_978_eV,977_BCF,977_PCBM,978_BCF,978_PCBM,977_captured,978_captured,977_raw_BCF,977_raw_PCBM,978_raw_BCF,978_raw_PCBM
1315,-3.0421130897352695,-1.9383733288730265,-1.7175792430708015,-1.6343654038759237,0.22079408580222504,0.0033070277952,1.0,0.0,0.0,1.0,0.524,0.505,0.524,0.0,0.0,0.505
1316,-3.0435622044721002,-1.9359043224465577,-1.7335729921880518,-1.6159923365524222,0.20233133025850591,0.0057569880114,1.0,0.0,0.0,1.0,0.525,0.508,0.525,0.0,0.0,0.508
1317,-3.044462131575734,-1.9296589980556371,-1.7516348784711004,-1.6024937479985595,0.17802411958453668,0.0089614256746,0.9980952380952381,0.0,0.0,1.0,0.525,0.508,0.524,0.0,0.0,0.508
1318,-3.045548035530641,-1.921373453714785,-1.7705644787802632,-1.597419434108671,0.15080897493452183,0.016926769529,0.9980916030534351,0.0,0.0,1.0,0.524,0.505,0.523,0.0,0.0,0.505
1319,-3.04797970499814,-1.9062553263017818,-1.7879694475846648,-1.6021701772385155,0.11828587871711704,0.035074847801,0.9980879541108987,0.0,0.0,1.0,0.523,0.508,0.522,0.0,0.0,0.508
1320,-3.051563099870471,-1.8860329088199514,-1.8032958803059083,-1.6176414929998864,0.08273702851404319,0.091616767622,0.9980842911877394,0.0,0.0019801980198019802,0.998019801980198,0.522,0.505,0.521,0.0,0.001,0.504
1321,-3.0560747469655194,-1.862234297251997,-1.815139067533589,-1.6406989703985513,0.04709522971840796,0.14762296467,1.0,0.0,0.005952380952380952,0.9940476190476191,0.519,0.504,0.519,0.0,0.003,0.501
1322,-3.074023780750513,-1.8307614701105301,-1.802294746581042,-1.646861677946012,0.028466723529488203,0.6,0.9770114942528736,0.022988505747126436,0.03143418467583497,0.968565815324165,0.522,0.509,0.51,0.012,0.016,0.493
1323,-3.0625088825594715,-1.8301599852005506,-1.812642501153873,-1.6951960865154079,0.017517484046677634,0.2963154407,0.09072978303747532,0.9092702169625246,0.9049429657794678,0.09505703422053233,0.5070000000000001,0.526,0.046,0.4610000000000001,0.47600000000000003,0.05000000000000001
1324,-3.0655907953733417,-1.827484451934732,-1.794659741501773,-1.7181197333332028,0.03282471043295887,0.042273473793,0.025540275049115914,0.9744597249508841,0.9846153846153846,0.01538461538461538,0.509,0.5200000000000001,0.013000000000000001,0.496,0.5120000000000001,0.008
1325,-3.0660128743091244,-1.822069602984392,-1.783374623595136,-1.7372632229876361,0.038694979389255924,0.05457956677,0.015810276679841896,0.9841897233201581,0.9941972920696325,0.005802707930367505,0.506,0.517,0.008,0.498,0.514,0.003
1326,-3.0661443288118724,-1.8119365268831826,-1.7784356350152533,-1.7494770721701802,0.03350089186792937,0.27871498134,0.029296875,0.970703125,0.9807692307692307,0.019230769230769232,0.512,0.52,0.015,0.497,0.51,0.01
1327,-3.0676528185800587,-1.7967712196594476,-1.7771994511863891,-1.7529980105188314,0.019571768473058526,0.6,0.09145129224652088,0.9085487077534792,0.9173076923076923,0.08269230769230768,0.503,0.52,0.046,0.457,0.477,0.04299999999999999
1328,-3.0694076092721896,-1.7860671735111153,-1.7724713938865038,-1.74986456349485,0.01359577962461156,0.6,0.7726396917148363,0.2273603082851638,0.24015748031496062,0.7598425196850394,0.519,0.508,0.401,0.11800000000000001,0.122,0.386
1329,-3.0780952314652534,-1.7805522950558306,-1.7459709802679493,-1.7339883583279616,0.03458131478788129,0.14970514838,0.9769673704414588,0.023032629558541268,0.02952755905511811,0.9704724409448818,0.521,0.508,0.509,0.012,0.015,0.493
1330,-3.079628896909645,-1.7890828288415856,-1.7263982674816547,-1.7223893794045555,0.06268456135993095,0.043626866123,1.0,0.0,0.005988023952095809,0.9940119760479043,0.522,0.501,0.522,0.0,0.003,0.49800000000000005
1331,-3.0841810354162247,-1.7937888328233502,-1.706892494595275,-1.697019735867254,0.08689633822807519,0.010619477431,1.0,0.0,0.0019801980198019802,0.998019801980198,0.525,0.505,0.525,0.0,0.001,0.504
1332,-3.087817438315663,-1.7943271629523414,-1.690042031890918,-1.6712077812396653,0.10428513106142345,0.0093066555376,1.0,0.0,0.00199203187250996,0.99800796812749,0.525,0.502,0.525,0.0,0.001,0.501
1333,-3.0804436874302272,-1.800758031883197,-1.6747803129106158,-1.6464436121495032,0.12597771897258125,0.0073797054771,1.0,0.0,0.0,1.0,0.526,0.505,0.526,0.0,0.0,0.505
1334,-3.076672727678157,-1.8127776920304086,-1.6638137074447443,-1.6259848745492458,0.1489639845856643,0.0069724709543,1.0,0.0,0.0,1.0,0.527,0.505,0.527,0.0,0.0,0.505
1335,-3.076447815678857,-1.831319449834785,-1.6570252705819803,-1.6102812848049117,0.17429417925280455,0.0011100334061,1.0,0.0,0.0,1.0,0.527,0.504,0.527,0.0,0.0,0.504
