frame,E_976_eV,E_977_eV,E_978_eV,E_979_eV,E_980_eV,gap_976_977_eV,gap_976_978_eV,gap_976_979_eV,gap_976_980_eV,gap_977_978_eV,gap_977_979_eV,gap_977_980_eV,gap_978_979_eV,gap_978_980_eV,gap_979_980_eV,abs_nac_976_977_eV,abs_nac_976_978_eV,abs_nac_976_979_eV,abs_nac_976_980_eV,abs_nac_977_978_eV,abs_nac_977_979_eV,abs_nac_977_980_eV,abs_nac_978_979_eV,abs_nac_978_980_eV,abs_nac_979_980_eV,976_perovskite,976_BCF,976_PCBM,977_perovskite,977_BCF,977_PCBM,978_perovskite,978_BCF,978_PCBM,979_perovskite,979_BCF,979_PCBM,980_perovskite,980_BCF,980_PCBM,976_raw_perovskite,976_raw_BCF,976_raw_PCBM,977_raw_perovskite,977_raw_BCF,977_raw_PCBM,978_raw_perovskite,978_raw_BCF,978_raw_PCBM,979_raw_perovskite,979_raw_BCF,979_raw_PCBM,980_raw_perovskite,980_raw_BCF,980_raw_PCBM,976_captured,977_captured,978_captured,979_captured,980_captured,976_dominant,977_dominant,978_dominant,979_dominant,980_dominant
1315,-3.0421130897352695,-1.9383733288730265,-1.7175792430708015,-1.6343654038759237,-1.4029968322278543,1.103739760862243,1.324533846664468,1.4077476858593458,1.6391162575074152,0.22079408580222504,0.30400792499710283,0.5353764966451722,0.08321383919487779,0.31458241084294714,0.23136857164806934,7.3477962694e-05,1.5391282768e-06,4.0116461785e-07,1.0919279727e-06,0.0033070277952,0.0018404430256,8.8712141465e-05,0.019294405859,0.01426809531,0.13398419946,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,0.524,0.0,0.0,0.0,0.505,0.0,0.0,0.508,0.0,0.0,0.506,0.556,0.524,0.505,0.508,0.506,perovskite,BCF,PCBM,PCBM,PCBM
1316,-3.0435622044721002,-1.9359043224465577,-1.7335729921880518,-1.6159923365524222,-1.4100109906363452,1.1076578820255425,1.3099892122840484,1.427569867919678,1.633551213835755,0.20233133025850591,0.3199119858941355,0.5258933318102126,0.11758065563562958,0.32356200155170667,0.20598134591607709,5.0750790909e-05,1.5870131044e-06,2.7629690472e-08,1.1279803586e-06,0.0057569880114,0.00095705918293,0.00011415332602000001,0.013617410033,0.011184288078,0.19279666637,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.557,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.508,0.0,0.0,0.504,0.0,0.0,0.506,0.557,0.525,0.508,0.504,0.506,perovskite,BCF,PCBM,PCBM,PCBM
1317,-3.044462131575734,-1.9296589980556371,-1.7516348784711004,-1.6024937479985595,-1.4207464822012037,1.114803133520097,1.2928272531046336,1.4419683835771746,1.6237156493745304,0.17802411958453668,0.32716525005707764,0.5089125158544334,0.14914113047254096,0.33088839626989675,0.18174726579735578,2.7864836567e-05,1.6807866769e-06,3.9564738448e-07,1.0797381479e-06,0.0089614256746,0.00019637249822,5.5251460721e-05,0.028858987034,0.012067813243,0.25793750182,1.0,0.0,0.0,0.0019047619047619048,0.9980952380952381,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.559,0.0,0.0,0.001,0.524,0.0,0.0,0.0,0.508,0.0,0.0,0.503,0.0,0.0,0.508,0.559,0.525,0.508,0.503,0.508,perovskite,BCF,PCBM,PCBM,PCBM
1318,-3.045548035530641,-1.921373453714785,-1.7705644787802632,-1.597419434108671,-1.4326281609040137,1.1241745818158557,1.2749835567503776,1.4481286014219699,1.6129198746266271,0.15080897493452183,0.32395401960611414,0.4887452928107714,0.1731450446715923,0.33793631787624956,0.16479127320465725,1.8661625561e-06,1.8360995607e-06,6.7559699353e-07,1.0122355923e-06,0.016926769529,0.00070808463857,0.00043882839027,0.036378387329,0.016799680349,0.29667506725,1.0,0.0,0.0,0.0019083969465648854,0.9980916030534351,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.557,0.0,0.0,0.001,0.523,0.0,0.0,0.0,0.505,0.0,0.0,0.505,0.0,0.0,0.511,0.557,0.524,0.505,0.505,0.511,perovskite,BCF,PCBM,PCBM,PCBM
1319,-3.04797970499814,-1.9062553263017818,-1.7879694475846648,-1.6021701772385155,-1.4415161747233074,1.1417243786963582,1.2600102574134753,1.4458095277596246,1.6064635302748327,0.11828587871711704,0.30408514906326634,0.46473915157847445,0.1857992703461493,0.3464532728613574,0.16065400251520812,2.6731747277e-05,2.5519172973e-06,8.445180579e-07,9.541708468e-07,0.035074847801,0.0015224605043,0.0013141001784,0.038779951615,0.024075073882,0.27571273452,1.0,0.0,0.0,0.0019120458891013384,0.9980879541108987,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.558,0.0,0.0,0.001,0.522,0.0,0.0,0.0,0.508,0.0,0.0,0.506,0.0,0.0,0.51,0.558,0.523,0.508,0.506,0.51,perovskite,BCF,PCBM,PCBM,PCBM
1320,-3.051563099870471,-1.8860329088199514,-1.8032958803059083,-1.6176414929998864,-1.4471840313583826,1.1655301910505194,1.2482672195645625,1.4339216068705845,1.6043790685120882,0.08273702851404319,0.2683914158200651,0.43884887746156886,0.1856543873060219,0.3561118489475257,0.17045746164150377,4.564481234e-05,5.5642391067e-06,9.169916974e-07,9.8793329376e-07,0.091616767622,0.0026136159041,0.0029539771834,0.037965262319,0.031797760398,0.21029993615,1.0,0.0,0.0,0.0019157088122605363,0.9980842911877394,0.0,0.0,0.0019801980198019802,0.998019801980198,0.0,0.0,1.0,0.0,0.0,1.0,0.558,0.0,0.0,0.001,0.521,0.0,0.0,0.001,0.504,0.0,0.0,0.5030000000000001,0.0,0.0,0.5130000000000001,0.558,0.522,0.505,0.5030000000000001,0.5130000000000001,perovskite,BCF,PCBM,PCBM,PCBM
1321,-3.0560747469655194,-1.862234297251997,-1.815139067533589,-1.6406989703985513,-1.4508037498589699,1.1938404497135224,1.2409356794319304,1.4153757765669681,1.6052709971065495,0.04709522971840796,0.22153532685344568,0.4114305473930271,0.17444009713503772,0.36433531767461913,0.1898952205395814,7.678683253e-05,4.038644505e-06,1.4003236245e-06,1.1415497285e-06,0.14762296467,0.0039354022008,0.004884062334,0.035235302459,0.03887591586,0.13992387555,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005952380952380952,0.9940476190476191,0.0,0.0,1.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,0.519,0.0,0.0,0.003,0.501,0.0,0.0,0.505,0.0,0.0,0.5130000000000001,0.556,0.519,0.504,0.505,0.5130000000000001,perovskite,BCF,PCBM,PCBM,PCBM
1322,-3.074023780750513,-1.8307614701105301,-1.802294746581042,-1.646861677946012,-1.434093062592385,1.243262310639983,1.2717290341694711,1.4271621028045012,1.6399307181581282,0.028466723529488203,0.18389979216451824,0.39666840751814525,0.15543306863503004,0.36820168398865705,0.212768615353627,0.00013483574744,0.00011902086909,5.140489467e-07,1.7622584908e-06,0.6,0.018196155679,0.025548692197,0.023221057819,0.028170754261,0.084093992151,1.0,0.0,0.0,0.0,0.9770114942528736,0.022988505747126436,0.0,0.03143418467583497,0.968565815324165,0.0,0.0,1.0,0.0,0.0,1.0,0.56,0.0,0.0,0.0,0.51,0.012,0.0,0.016,0.493,0.0,0.0,0.508,0.0,0.0,0.51,0.56,0.522,0.509,0.508,0.51,perovskite,BCF,PCBM,PCBM,PCBM
1323,-3.0625088825594715,-1.8301599852005506,-1.812642501153873,-1.6951960865154079,-1.461088599410354,1.232348897358921,1.2498663814055986,1.3673127960440636,1.6014202831491176,0.017517484046677634,0.1349638986851427,0.3690713857901966,0.11744641463846506,0.35155390174351897,0.2341074871050539,3.6402868808e-05,3.621836588500001e-05,7.0974004375e-07,1.4484350431e-06,0.2963154407,0.030395290418,0.047644209721,0.013258912854,0.012094595641,0.042221741195,1.0,0.0,0.0,0.0,0.09072978303747532,0.9092702169625246,0.0,0.9049429657794678,0.09505703422053233,0.0,0.0,1.0,0.0,0.0,1.0,0.561,0.0,0.0,0.0,0.046,0.4610000000000001,0.0,0.47600000000000003,0.05000000000000001,0.0,0.0,0.51,0.0,0.0,0.5110000000000001,0.561,0.5070000000000001,0.526,0.51,0.5110000000000001,perovskite,PCBM,BCF,PCBM,PCBM
1324,-3.0655907953733417,-1.827484451934732,-1.794659741501773,-1.7181197333332028,-1.4673284494829995,1.2381063434386097,1.2709310538715686,1.347471062040139,1.5982623458903422,0.03282471043295887,0.10936471860152919,0.3601560024517325,0.07654000816857032,0.32733129201877365,0.25079128385020333,1.0322240071e-05,2.9763090429e-05,8.2243372664e-07,1.4704068538e-06,0.042273473793,0.031629370638,0.052068552379,0.018674792794,0.009450899782,0.010132158838,1.0,0.0,0.0,0.0,0.025540275049115914,0.9744597249508841,0.0,0.9846153846153846,0.01538461538461538,0.0,0.0,1.0,0.0,0.0,1.0,0.562,0.0,0.0,0.0,0.013000000000000001,0.496,0.0,0.5120000000000001,0.008,0.0,0.0,0.505,0.0,0.0,0.5110000000000001,0.562,0.509,0.5200000000000001,0.505,0.5110000000000001,perovskite,PCBM,BCF,PCBM,PCBM
